year,date,rank,song,artist,binary,language,total_words,non_e_words,percent,individual songs,Position,Streams,spotify date,spins,radio_rank,chartmetric date
2021,2021-01-16,52,bs,jhene aiko,0,english,474,0,0,1,201,1370589,NA,3895,15,2021-01-07
2021,2021-01-16,33,champagne night,lady a,0,english,371,9,2.43,1,201,1370589,NA,3576,18,2021-01-07
2021,2021-01-16,66,damage,her,0,english,291,0,0,NA,201,1370589,NA,1829,68,2021-01-07
2021,2021-01-16,39,diamonds,sam smith,0,english,513,0,0,1,201,1370589,NA,3853,17,2021-01-07
2021,2021-01-16,72,down to one,luke bryan,0,english,379,0,0,NA,201,1370589,NA,2180,55,2021-01-07
2021,2021-01-16,96,everywhere but on,matt stell,0,english,319,0,0,1,201,1370589,NA,1609,80,2021-01-07
2021,2021-01-16,87,girl like me,black eyed peas,0,english,474,142,29.96,NA,201,1370589,NA,646,197,2021-01-07
2021,2021-01-16,48,good time,niko moon,0,english,371,0,0,NA,201,1370589,NA,2274,49,2021-01-07
2021,2021-01-16,32,happy anywhere,blake shelton,0,english,241,0,0,1,201,1370589,NA,3035,29,2021-01-07
2021,2021-01-16,69,happy does,kenny chesney,0,english,303,0,0,NA,201,1370589,NA,2758,35,2021-01-07
2021,2021-01-16,94,hell of a view,eric church,0,english,229,0,0,NA,201,1370589,NA,1141,107,2021-01-07
2021,2021-01-16,45,hole in the bottle,kelsea ballerini,0,english,296,0,0,NA,201,1370589,NA,2623,39,2021-01-07
2021,2021-01-16,28,i should probably go to bed,dan and shay,0,english,279,0,0,1,201,1370589,NA,3137,25,2021-01-07
2021,2021-01-16,75,just the way,parmalee,0,english,511,0,0,NA,201,1370589,NA,2059,62,2021-01-07
2021,2021-01-16,15,kings and queens,ava max,0,english,312,0,0,1,201,1370589,NA,6172,6,2021-01-07
2021,2021-01-16,97,lady,brett young,0,english,268,0,0,NA,201,1370589,NA,1521,85,2021-01-07
2021,2021-01-16,79,long live,florida georgia line,0,english,269,0,0,NA,201,1370589,NA,2011,63,2021-01-07
2021,2021-01-16,50,love you like i used to,russell dickerson,0,english,301,0,0,1,201,1370589,NA,2866,30,2021-01-07
2021,2021-01-16,71,midnight sky,miley cyrus,0,english,404,0,0,1,201,1370589,NA,259,501,NA
2021,2021-01-16,88,mommas house,dustin lynch,0,english,374,0,0,NA,201,1370589,NA,1886,67,2021-01-07
2021,2021-01-16,70,monsters,all time low,0,english,458,0,0,NA,201,1370589,NA,1292,101,2021-01-07
2021,2021-01-16,89,one too many,keith urban,0,english,387,0,0,NA,201,1370589,NA,1141,108,2021-01-07
2021,2021-01-16,37,pretty heart,parker mccollum,0,english,271,0,0,1,201,1370589,NA,2421,46,2021-01-07
2021,2021-01-16,46,save your tears,the weeknd,0,english,267,0,0,NA,201,1370589,NA,1920,66,2021-01-07
2021,2021-01-16,85,some girls,jameson rodgers,0,english,346,0,0,1,201,1370589,NA,259,501,NA
2021,2021-01-16,84,stay down,lil durk,0,english,540,3,0.56,NA,201,1370589,NA,497,240,2021-01-07
2021,2021-01-16,84,stay down,lil durk,0,english,540,3,0.56,NA,201,1370589,NA,662,191,2021-01-07
2021,2021-01-16,77,the good ones,gabby barrett,0,english,290,0,0,NA,201,1370589,NA,1321,100,2021-01-07
2021,2021-01-16,58,throat baby,brs kash,0,english,803,4,0.5,NA,201,1370589,NA,2128,60,2021-01-07
2021,2021-01-16,68,what's your country song,thomas rhett,0,english,274,0,0,NA,201,1370589,NA,2089,61,2021-01-07
2021,2021-01-16,56,you're mines still,yung bleu,0,english,468,0,0,NA,201,1370589,NA,259,501,NA
2021,2021-01-23,68,back to the streets,saweetie,0,english,526,0,0,NA,201,1532055,NA,3354,23,2021-01-14
