year,date,rank,song,artist,binary,language,total_words,non_e_words,percent,individual songs,position,streams,spotify date,spins,radio_rank
2021,2021-03-13,83,Quicksand,Morray,0,english,848,8,0.94,,,,,,
2021,2021-03-13,84,Almost Maybes,Jordan Davis,0,english,375,0,0.00,,,,,,
2021,2021-03-13,85,Hello,Pop Smoke,0,english,530,13,2.45,,,,,,
2021,2021-03-13,86,Still Trappin',Lil Durk,0,english,664,2,0.30,,,,,,
2021,2021-03-13,87,Moonwalking In Calabasas,DDG,0,english,547,0,0.00,,,,,,
2021,2021-03-13,88,Made For You,Jake Owen,0,english,242,0,0.00,,,,,,
2021,2021-03-13,89,Hole In The Bottle,Kelsea Ballerini,0,english,296,0,0.00,,,,,,
2021,2021-03-13,90,Drunk And I Don't Wanna Go Home,Elle King,0,english,428,0,0.00,,,,,,
2021,2021-03-13,91,Glad You Exist,Dan and Shay,0,english,288,0,0.00,,,,,,
2021,2021-03-13,92,Breaking Up Was Easy In The 90s,Sam Hunt,0,english,405,0,0.00,,,,,,
2021,2021-03-13,93,somebodys problem,Morgan Wallen,0,english,300,0,0.00,,,,,,
2021,2021-03-13,94,Drankin N Smokin,Future,0,english,582,2,0.34,,,,,,
2021,2021-03-13,95,Pick Up Your Feelings,Jazmine Sullivan,0,english,510,0,0.00,,,,,,
2021,2021-03-13,96,Nobody,Dylan Scott,0,english,297,0,0.00,,,,,,
2021,2021-03-13,97,Cover Me Up,Morgan Wallen,0,english,272,0,0.00,,,,,,
2021,2021-03-13,98,Like I Want You,Giveon,0,english,318,0,0.00,,,,,,
2021,2021-03-13,99,Gone,Dierks Bentley,0,english,318,0,0.00,,,,,,
2021,2021-03-13,100,Bichota,Karol G,1,spanish,370,370,100.00,,,,,,
2021,2021-03-20,1,What's Next,Drake,0,english,548,3,0.55,1,,,,,
2021,2021-03-20,2,Wants And Needs,Drake,0,english,609,2,0.33,1,,,,,
2021,2021-03-20,3,Lemon Pepper Freestyle,Drake Featuring Rick Ross,0,english,1158,2,0.17,1,,,,,
2021,2021-03-20,4,Leave The Door Open,Silk Sonic,0,english,476,0,0.00,,,,,,
2021,2021-03-20,5,Drivers License,Olivia Rodrigo,0,english,356,0,0.00,,,,,,
2021,2021-03-20,6,Up,Cardi B,0,english,536,0,0.00,,,,,,
2021,2021-03-20,7,Save Your Tears,The Weeknd,0,english,267,0,0.00,,,,,,
2021,2021-03-20,8,Blinding Lights,The Weeknd,0,english,259,0,0.00,,,,,,
2021,2021-03-20,9,34 plus 35,Ariana Grande,0,english,485,0,0.00,,,,,,
2021,2021-03-20,10,Mood,24kGoldn,0,english,455,0,0.00,,,,,,
2021,2021-03-20,11,Go Crazy,Chris Brown,0,english,563,0,0.00,,,,,,
