"year","date","rank","song","artist","binary","language","total_words","non_e_words","percent","unique","position","streams","spins","radio_rank"
2020,2020-01-11,37,"graveyard","halsey",0,"english",370,0,0,0,98,2257139,2715,24
2020,2020-01-11,38,"out west","jackboys",0,"english",492,0,0,1,6,6996820,201,501
2020,2020-01-11,39,"on chill","wale",0,"english",576,0,0,0,201,1513809,3453,16
2020,2020-01-11,40,"talk","khalid",0,"english",278,0,0,1,94,2284214,2709,32
2020,2020-01-11,41,"suicidal","ynw melly",0,"english",442,0,0,0,14,5522267,201,501
2020,2020-01-11,42,"beautiful people","ed sheeran",0,"english",338,0,0,1,64,2647825,2547,28
2020,2020-01-11,43,"suge","dababy",0,"english",745,0,0,1,32,4082244,1350,70
2020,2020-01-11,44,"futsal shuffle 2020","lil uzi vert",0,"english",762,2,0.26,0,8,6669212,201,501
2020,2020-01-11,45,"juicy","doja cat",0,"english",690,0,0,0,118,2056983,2359,38
2020,2020-01-11,46,"no idea","don toliver",0,"english",412,0,0,1,26,4660645,201,501
2020,2020-01-11,47,"baby","quality control",0,"english",556,0,0,1,67,2591914,1881,50
2020,2020-01-11,48,"gang gang","jackboys",0,"english",770,3,0.39,1,22,4792831,201,501
2020,2020-01-11,49,"what if i never get over you","lady antebellum",0,"english",291,0,0,0,201,1513809,201,501
2020,2020-01-11,50,"my oh my","camila cabello",0,"english",443,0,0,0,17,4960127,431,232
2020,2020-01-11,51,"ridin roads","dustin lynch",0,"english",367,0,0,0,201,1513809,2570,26
2020,2020-01-11,52,"had enough","don toliver",0,"english",400,2,0.5,1,15,5420011,201,501
2020,2020-01-11,53,"heat","chris brown",0,"english",659,0,0,1,201,1513809,2671,25
2020,2020-01-11,54,"playing games","summer walker",0,"english",269,0,0,0,201,1513809,1850,52
2020,2020-01-11,55,"into the unknown","idina menzel",0,"english",303,0,0,1,71,2529129,201,501
2020,2020-01-11,56,"what to do","jackboys",0,"english",431,0,0,1,18,4939870,201,501
2020,2020-01-11,57,"vibez","dababy",0,"english",599,0,0,0,31,4091021,201,501
2020,2020-01-11,58,"heartache medication","jon pardi",0,"english",240,0,0,0,201,1513809,2414,34
2020,2020-01-11,59,"blinding lights","the weeknd",0,"english",259,0,0,0,16,5144586,406,247
2020,2020-01-11,60,"kinfolks","sam hunt",0,"english",377,0,0,0,201,1513809,1971,48
2020,2020-01-11,61,"remember you young","thomas rhett",0,"english",233,0,0,1,201,1513809,2381,36
2020,2020-01-11,62,"heart on ice","rod wave",0,"english",262,0,0,0,124,1959188,201,501
2020,2020-01-11,63,"take what you want","post malone",0,"english",471,0,0,1,70,2554371,365,272
2020,2020-01-11,64,"homesick","kane brown",0,"english",274,0,0,0,201,1513809,1637,59
2020,2020-01-11,65,"camelot","nle choppa",0,"english",663,2,0.3,1,55,2876047,405,249
2020,2020-01-11,66,"ritmo bad boys for life","black eyed peas",0,"english",600,281,46.83,0,105,2157137,201,501
2020,2020-01-11,67,"leave em alone","layton greene",0,"english",526,0,0,1,201,1513809,201,501
2020,2020-01-11,68,"start wit me","roddy ricch",0,"english",595,0,0,0,58,2767556,201,501
2020,2020-01-11,69,"gatti","jackboys",0,"english",477,10,2.1,1,41,3379341,201,501
2020,2020-01-11,70,"high fashion","roddy ricch",0,"english",629,4,0.64,0,144,1820280,201,501
2020,2020-01-11,71,"toes","dababy",0,"english",625,0,0,0,54,2922466,201,501
2020,2020-01-11,72,"south of the border","ed sheeran",0,"english",603,35,5.8,0,146,1813304,1296,74
2020,2020-01-11,73,"slide","her",0,"english",560,6,1.07,0,201,1513809,1323,73
2020,2020-01-11,74,"i hope","gabby barrett",0,"english",471,0,0,0,201,1513809,586,158
2020,2020-01-11,75,"nice to meet ya","niall horan",0,"english",278,4,1.44,1,190,1537875,1711,56
2020,2020-01-11,76,"tusa","karol g",1,"spanish",431,312,72.39,0,83,2380465,201,501
2020,2020-01-11,77,"we back","jason aldean",0,"english",388,0,0,0,201,1513809,1725,55
2020,2020-01-11,78,"223s","ynw melly",0,"english",561,0,0,1,39,3640307,201,501
2020,2020-01-11,79,"easy","danileigh",0,"english",360,0,0,1,201,1513809,1748,54
2020,2020-01-11,80,"slow dancing in the dark","joji",0,"english",254,0,0,1,80,2418211,201,501
2020,2020-01-11,81,"best on earth","russ",0,"english",485,0,0,0,165,1704346,1269,76
2020,2020-01-11,82,"watermelon sugar","harry styles",0,"english",233,0,0,0,21,4811184,201,501
2020,2020-01-11,83,"vete","bad bunny",1,"spanish",376,376,100,0,63,2664877,201,501
2020,2020-01-11,84,"make me want to","jimmie allen",0,"english",322,0,0,0,201,1513809,1785,53
2020,2020-01-11,85,"enemies","post malone",0,"english",590,0,0,1,100,2211466,1290,75
2020,2020-01-11,86,"what she wants tonight","luke bryan",0,"english",377,0,0,0,201,1513809,1393,68
2020,2020-01-11,87,"homecoming queen","kelsea ballerini",0,"english",245,0,0,0,201,1513809,1002,94
2020,2020-01-11,88,"more hearts than mine","ingrid andress",0,"english",305,0,0,0,201,1513809,1149,83
2020,2020-01-11,89,"tip toe","roddy ricch",0,"english",600,7,1.17,0,86,2339104,201,501
2020,2020-01-11,90,"i wish grandpas never died","riley green",0,"english",336,0,0,0,201,1513809,978,100
2020,2020-01-11,91,"death","trippie redd",0,"english",460,0,0,0,49,3140564,201,501
2020,2020-01-11,92,"yellow hearts","ant saunders",0,"english",459,0,0,1,52,2927837,201,501
2020,2020-01-11,93,"jerry sprunger","tory lanez",0,"english",664,0,0,0,201,1513809,1121,85
2020,2020-01-11,94,"let me know","juice wrld",0,"english",435,1,0.23,0,56,2851530,201,501
2020,2020-01-11,95,"loco contigo","dj snake",1,"spanish",388,276,71.13,1,201,1513809,689,136
2020,2020-01-11,96,"candy","doja cat",0,"english",383,0,0,1,139,1857037,201,501
2020,2020-01-11,97,"heartless","diplo",0,"english",386,0,0,0,121,2024415,201,501
2020,2020-01-11,98,"china","anuel aa",1,"spanish",731,719,98.36,1,201,1513809,237,418
2020,2020-01-11,99,"slow dance in a parking lot","jordan davis",0,"english",277,0,0,0,201,1513809,201,501
2020,2020-01-11,100,"july","noah cyrus",0,"english",187,0,0,0,77,2471620,201,501
2020,2020-01-18,1,"the box","roddy ricch",0,"english",540,3,0.56,1,1,18952305,619,156
2020,2020-01-18,2,"yummy","justin bieber",0,"english",445,2,0.45,1,3,9648561,3841,15
2020,2020-01-18,3,"circles","post malone",0,"english",314,0,0,0,4,8244725,8238,2
2020,2020-01-18,4,"memories","maroon 5",0,"english",442,0,0,0,27,4510361,6796,5
2020,2020-01-18,5,"10000 hours","dan and shay",0,"english",319,0,0,1,43,3355067,7155,3
2020,2020-01-18,6,"someone you loved","lewis capaldi",0,"english",323,0,0,0,25,4604720,225,465
2020,2020-01-18,7,"dance monkey","tones and i",0,"english",434,0,0,0,7,6986158,4161,13
2020,2020-01-18,8,"good as hell","lizzo",0,"english",371,0,0,0,163,1703493,8301,1
2020,2020-01-18,9,"roxanne","arizona zervas",0,"english",355,0,0,0,2,9671478,4522,8
